location,description,secs,category,CDNumber,CDName,tracknum,repetitions,start_time
07036179.wav,"Domestic Mantle Clock striking three o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",45,,EC209B,Domestic Clock,9,3,15.0
07036178.wav,"Domestic Mantle Clock striking two o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",45,,EC209B,Domestic Clock,8,2,15.0
07036177.wav,"Domestic Mantle Clock striking one o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",40,,EC209B,Domestic Clock,7,1,15.0
07036176.wav,"Domestic Mantle Clock striking quarter to the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",24,,EC209B,Domestic Clock,6,-1,0.0
07036175.wav,"Domestic Mantle Clock striking half past the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",21,,EC209B,Domestic Clock,5,-1,0.0
07036174.wav,"Domestic Mantle Clock striking quarter past the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",18,,EC209B,Domestic Clock,4,8,0.0
07036173.wav,"Domestic Mantle Clock striking twelve o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",69,,EC209B,Domestic Clock,3,12,15.0
07036172.wav,"Domestic Mantle Clock striking eleven o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",65,,EC209B,Domestic Clock,2,11,15.0
07036171.wav,"Domestic Mantle Clock striking ten o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",64,,EC209B,Domestic Clock,1,10,15.0
07036170.wav,"Domestic Mantle Clock striking nine o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",60,,EC209A,Domestic Clock,12,9,15.0
07036169.wav,"Domestic Mantle Clock striking eight o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",56,,EC209A,Domestic Clock,11,8,15.0
07036168.wav,"Domestic Mantle Clock striking seven o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",56,,EC209A,Domestic Clock,10,7,15.0
07036167.wav,"Domestic Mantle Clock striking six o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",52,,EC209A,Domestic Clock,9,6,15.0
07036166.wav,"Domestic Mantle Clock striking five o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",50,,EC209A,Domestic Clock,8,5,15.0
07036165.wav,"Domestic Mantle Clock striking four o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",47,,EC209A,Domestic Clock,7,4,15.0
07036164.wav,"Domestic Mantle Clock striking three o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",43,,EC209A,Domestic Clock,6,3,15.0
07036163.wav,"Domestic Mantle Clock striking two o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",42,,EC209A,Domestic Clock,5,2,15.0
07036162.wav,"Domestic Mantle Clock striking one o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",43,,EC209A,Domestic Clock,4,1,15.0
07036161.wav,"Domestic Mantle Clock striking quarter to the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",23,,EC209A,Domestic Clock,3,-1,0.0
07036160.wav,"Domestic Mantle Clock striking half past the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",19,,EC209A,Domestic Clock,2,-1,0.0
07036159.wav,"Domestic Mantle Clock striking quarter past the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",16,,EC209A,Domestic Clock,1,-1,0.0
07032157.wav,Christ's College clock striking twelve o'clock.,44,,EC212C,"Christ’S College Clock, Cambridge",12,12,10.0
07032156.wav,Christ's College clock striking eleven o'clock.,42,,EC212C,"Christ’S College Clock, Cambridge",11,11,10.0
07032155.wav,Christ's College clock striking ten o'clock.,41,,EC212C,"Christ’S College Clock, Cambridge",10,10,10.0
07032154.wav,Christ's College clock striking nine o'clock.,39,,EC212C,"Christ’S College Clock, Cambridge",9,9,10.0
07032153.wav,Christ's College clock striking eight o'clock.,37,,EC212C,"Christ’S College Clock, Cambridge",8,8,10.0
07032152.wav,Christ's College clock striking seven o'clock.,36,,EC212C,"Christ’S College Clock, Cambridge",7,7,10.0
07032151.wav,Christ's College clock striking six o'clock.,34,,EC212C,"Christ’S College Clock, Cambridge",6,6,10.0
07032150.wav,Christ's College clock striking five o'clock.,34,,EC212C,"Christ’S College Clock, Cambridge",5,5,10.0
07032149.wav,Christ's College clock striking four o'clock.,32,,EC212C,"Christ’S College Clock, Cambridge",4,4,10.0
07032148.wav,Christ's College clock striking three o'clock.,30,,EC212C,"Christ’S College Clock, Cambridge",3,3,10.0
07032147.wav,Christ's College clock striking two o'clock.,28,,EC212C,"Christ’S College Clock, Cambridge",2,2,10.0
07032146.wav,Christ's College clock striking one o'clock.,23,,EC212C,"Christ’S College Clock, Cambridge",1,1,10.0
07032140.wav,Emmanuel College clock striking twelve o'clock.,49,,EC212A,"Emmanuel College Clock, Cambridge",12,12,0.0
07032139.wav,Emmanuel College clock striking eleven o'clock.,45,,EC212A,"Emmanuel College Clock, Cambridge",11,11,0.0
07032138.wav,Emmanuel College clock striking ten o'clock.,44,,EC212A,"Emmanuel College Clock, Cambridge",10,10,0.0
07032137.wav,Emmanuel College clock striking nine o'clock.,40,,EC212A,"Emmanuel College Clock, Cambridge",9,9,0.0
07032136.wav,Emmanuel College clock striking eight o'clock.,38,,EC212A,"Emmanuel College Clock, Cambridge",8,8,0.0
07032135.wav,Emmanuel College clock striking seven o'clock.,36,,EC212A,"Emmanuel College Clock, Cambridge",7,7,0.0
07032134.wav,Emmanuel College clock striking six o'clock.,33,,EC212A,"Emmanuel College Clock, Cambridge",6,6,0.0
07032133.wav,Emmanuel College clock striking five o'clock.,31,,EC212A,"Emmanuel College Clock, Cambridge",5,5,0.0
07032132.wav,Emmanuel College clock striking four o'clock.,29,,EC212A,"Emmanuel College Clock, Cambridge",4,4,0.0
07032131.wav,Emmanuel College clock striking three o'clock.,27,,EC212A,"Emmanuel College Clock, Cambridge",3,3,0.0
07032130.wav,Emmanuel College clock striking two o'clock.,24,,EC212A,"Emmanuel College Clock, Cambridge",2,2,0.0
07032129.wav,Emmanuel College clock striking one o'clock.,23,,EC212A,"Emmanuel College Clock, Cambridge",1,1,0.0
07022251.wav,"Lantern clock striking twelve o'clock. (Domestic lantern clock, manufactured 1615.)",46,,EC48Y,"Lantern Clock, 1615",12,12,0.0
07022250.wav,"Lantern clock striking eleven o'clock. (Domestic lantern clock, manufactured 1615.)",43,,EC48Y,"Lantern Clock, 1615",11,11,0.0
07022249.wav,"Lantern clock striking ten o'clock. (Domestic lantern clock, manufactured 1615.)",40,,EC48Y,"Lantern Clock, 1615",10,10,0.0
07022248.wav,"Lantern clock striking nine o'clock. (Domestic lantern clock, manufactured 1615.)",35,,EC48Y,"Lantern Clock, 1615",9,9,0.0
07022247.wav,"Lantern clock striking eight o'clock. (Domestic lantern clock, manufactured 1615.)",32,,EC48Y,"Lantern Clock, 1615",8,8,0.0
07022246.wav,"Lantern clock striking seven o'clock. (Domestic lantern clock, manufactured 1615.)",30,,EC48Y,"Lantern Clock, 1615",7,7,0.0
07022245.wav,"Lantern clock striking six o'clock. (Domestic lantern clock, manufactured 1615.)",26,,EC48Y,"Lantern Clock, 1615",6,6,0.0
07022244.wav,"Lantern clock striking five o'clock. (Domestic lantern clock, manufactured 1615.)",24,,EC48Y,"Lantern Clock, 1615",5,5,0.0
07022243.wav,"Lantern clock striking four o'clock. (Domestic lantern clock, manufactured 1615.)",21,,EC48Y,"Lantern Clock, 1615",4,4,0.0
07022242.wav,"Lantern clock striking three o'clock. (Domestic lantern clock, manufactured 1615.)",17,,EC48Y,"Lantern Clock, 1615",3,3,0.0
07022241.wav,"Lantern clock striking two o'clock. (Domestic lantern clock, manufactured 1615.)",13,,EC48Y,"Lantern Clock, 1615",2,2,0.0
07022240.wav,"Lantern clock striking one o'clock. (Domestic lantern clock, manufactured 1615.)",11,,EC48Y,"Lantern Clock, 1615",1,1,0.0
07022239.wav,"Domestic clock with striker removed striking twelve o'clock. (No chimes, hammer merely vibrates.)",29,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,12,12,0.0
07022238.wav,"Domestic clock with striker removed striking eleven o'clock. (No chimes, hammer merely vibrates.)",27,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,11,11,0.0
07022237.wav,"Domestic clock with striker removed striking ten o'clock. (No chimes, hammer merely vibrates.)",25,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,10,10,0.0
07022236.wav,"Domestic clock with striker removed striking nine o'clock. (No chimes, hammer merely vibrates.)",23,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,9,9,0.0
07022235.wav,"Domestic clock with striker removed striking eight o'clock. (No chimes, hammer merely vibrates.)",20,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,8,8,0.0
07022234.wav,"Domestic clock with striker removed striking seven o'clock. (No chimes, hammer merely vibrates.)",19,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,7,7,0.0
07022233.wav,"Domestic clock with striker removed striking six o'clock. (No chimes, hammer merely vibrates.)",17,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,6,6,0.0
07022232.wav,"Domestic clock with striker removed striking five o'clock. (No chimes, hammer merely vibrates.)",15,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,5,5,0.0
07022231.wav,"Domestic clock with striker removed striking four o'clock. (No chimes, hammer merely vibrates.)",13,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,4,4,0.0
07022230.wav,"Domestic clock with striker removed striking three o'clock. (No chimes, hammer merely vibrates.)",11,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,3,3,0.0
07022229.wav,"Domestic clock with striker removed striking two o'clock. (No chimes, hammer merely vibrates.)",8,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,2,2,0.0
07022228.wav,"Domestic clock with striker removed striking one o'clock. (No chimes, hammer merely vibrates.)",7,,EC48W,Domestic Clock: Strike Removed; Hammer Merely Vibrates,1,1,0.0
07022227.wav,Domestic clock striking twelve o'clock. (English domestic clock with double-strike mechanism.),35,,EC48V,English Domestic Clock: Double Strike,12,12,0.0
07022226.wav,Domestic clock striking eleven o'clock. (English domestic clock with double-strike mechanism.),32,,EC48V,English Domestic Clock: Double Strike,11,11,0.0
07022225.wav,Domestic clock striking ten o'clock. (English domestic clock with double-strike mechanism.),31,,EC48V,English Domestic Clock: Double Strike,10,10,0.0
07022224.wav,Domestic clock striking nine o'clock. (English domestic clock with double-strike mechanism.),29,,EC48V,English Domestic Clock: Double Strike,9,9,0.0
07022223.wav,Domestic clock striking eight o'clock. (English domestic clock with double-strike mechanism.),25,,EC48V,English Domestic Clock: Double Strike,8,8,0.0
07022222.wav,Domestic clock striking seven o'clock. (English domestic clock with double-strike mechanism.),23,,EC48V,English Domestic Clock: Double Strike,7,7,0.0
07022221.wav,Domestic clock striking six o'clock. (English domestic clock with double-strike mechanism.),21,,EC48V,English Domestic Clock: Double Strike,6,6,0.0
07022220.wav,Domestic clock striking five o'clock. (English domestic clock with double-strike mechanism.),20,,EC48V,English Domestic Clock: Double Strike,5,5,0.0
07022219.wav,Domestic clock striking four o'clock. (English domestic clock with double-strike mechanism.),18,,EC48V,English Domestic Clock: Double Strike,4,4,0.0
07022218.wav,Domestic clock striking three o'clock. (English domestic clock with double-strike mechanism.),17,,EC48V,English Domestic Clock: Double Strike,3,3,0.0
07022217.wav,Domestic clock striking two o'clock. (English domestic clock with double-strike mechanism.),14,,EC48V,English Domestic Clock: Double Strike,2,2,0.0
07022216.wav,Domestic clock striking one o'clock. (English domestic clock with double-strike mechanism.),13,,EC48V,English Domestic Clock: Double Strike,1,1,0.0
07022215.wav,Cuckoo clock striking twelve o'clock. (Cuckoo only.),13,,EC48U,Cuckoo Clock (Cuckoo Only),12,12,0.0
07022214.wav,Cuckoo clock striking eleven o'clock. (Cuckoo only.),12,,EC48U,Cuckoo Clock (Cuckoo Only),11,11,0.0
07022213.wav,Cuckoo clock striking ten o'clock. (Cuckoo only.),11,,EC48U,Cuckoo Clock (Cuckoo Only),10,10,0.0
07022212.wav,Cuckoo clock striking nine o'clock. (Cuckoo only.),11,,EC48U,Cuckoo Clock (Cuckoo Only),9,9,0.0
07022211.wav,Cuckoo clock striking eight o'clock. (Cuckoo only.),10,,EC48U,Cuckoo Clock (Cuckoo Only),8,8,0.0
07022210.wav,Cuckoo clock striking seven o'clock. (Cuckoo only.),9,,EC48U,Cuckoo Clock (Cuckoo Only),7,7,0.0
07022209.wav,Cuckoo clock striking six o'clock. (Cuckoo only.),8,,EC48U,Cuckoo Clock (Cuckoo Only),6,6,0.0
07022208.wav,Cuckoo clock striking five o'clock. (Cuckoo only.),8,,EC48U,Cuckoo Clock (Cuckoo Only),5,5,0.0
07022207.wav,Cuckoo clock striking four o'clock. (Cuckoo only.),7,,EC48U,Cuckoo Clock (Cuckoo Only),4,4,0.0
07022206.wav,Cuckoo clock striking three o'clock. (Cuckoo only.),6,,EC48U,Cuckoo Clock (Cuckoo Only),3,3,0.0
07022205.wav,Cuckoo clock striking two o'clock. (Cuckoo only.),6,,EC48U,Cuckoo Clock (Cuckoo Only),2,2,0.0
07022204.wav,Cuckoo clock striking one o'clock. (Cuckoo only.),6,,EC48U,Cuckoo Clock (Cuckoo Only),1,1,0.0
07022203.wav,Cuckoo clock striking twelve o'clock. (Cuckoo & chimes.),15,,EC48T,Cuckoo Clock (Cuckoo & Chimes),12,12,0.0
07022202.wav,Cuckoo clock striking eleven o'clock. (Cuckoo & chimes.),14,,EC48T,Cuckoo Clock (Cuckoo & Chimes),11,11,0.0
07022201.wav,Cuckoo clock striking ten o'clock. (Cuckoo & chimes.),14,,EC48T,Cuckoo Clock (Cuckoo & Chimes),10,10,0.0
07022200.wav,Cuckoo clock striking nine o'clock. (Cuckoo & chimes.),12,,EC48T,Cuckoo Clock (Cuckoo & Chimes),9,9,0.0
07022199.wav,Cuckoo clock striking eight o'clock. (Cuckoo & chimes.),11,,EC48T,Cuckoo Clock (Cuckoo & Chimes),8,8,0.0
07022198.wav,Cuckoo clock striking seven o'clock. (Cuckoo & chimes.),11,,EC48T,Cuckoo Clock (Cuckoo & Chimes),7,7,0.0
07022197.wav,Cuckoo clock striking six o'clock. (Cuckoo & chimes.),10,,EC48T,Cuckoo Clock (Cuckoo & Chimes),6,6,0.0
07022196.wav,Cuckoo clock striking five o'clock. (Cuckoo & chimes.),8,,EC48T,Cuckoo Clock (Cuckoo & Chimes),5,5,0.0
07022195.wav,Cuckoo clock striking four o'clock. (Cuckoo & chimes.),8,,EC48T,Cuckoo Clock (Cuckoo & Chimes),4,4,0.0
07022194.wav,Cuckoo clock striking three o'clock. (Cuckoo & chimes.),7,,EC48T,Cuckoo Clock (Cuckoo & Chimes),3,3,0.0
07022193.wav,Cuckoo clock striking two o'clock. (Cuckoo & chimes.),7,,EC48T,Cuckoo Clock (Cuckoo & Chimes),2,2,0.0
07022192.wav,Cuckoo clock striking one o'clock. (Cuckoo & chimes.) (NB half-hour is same as one o'clock.),6,,EC48T,Cuckoo Clock (Cuckoo & Chimes),1,1,0.0
07022191.wav,Cuckoo clock ticking.,243,,EC48S,Clocks,7,-1,0.0
07022190.wav,Winding up cuckoo clock.,27,,EC48S,Clocks,6,-1,0.0
07022189.wav,"Grandfather clock ticking. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",123,,EC48S,Clocks,5,-1,15.0
07022188.wav,"Grandfather clock ticking. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",186,,EC48S,Clocks,4,-1,15.0
07022187.wav,"Grandfather clock striking nine o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",50,,EC48S,Clocks,3,9,15.0
07022186.wav,"Grandfather clock striking eight o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",47,,EC48S,Clocks,2,8,15.0
07022185.wav,"Grandfather clock striking seven o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",41,,EC48S,Clocks,1,7,15.0
07022184.wav,"Grandfather clock striking six o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",40,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",12,6,15.0
07022183.wav,"Grandfather clock striking five o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",35,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",11,5,15.0
07022182.wav,"Grandfather clock striking four o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",33,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",10,4,15.0
07022181.wav,"Grandfather clock striking three o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",30,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",9,3,15.0
07022180.wav,"Grandfather clock striking two o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",29,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",8,2,15.0
07022179.wav,"Grandfather clock striking one o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",26,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",7,1,15.0
07022178.wav,"Grandfather clock striking twelve o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",52,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",6,12,15.0
07022177.wav,"Grandfather clock striking eleven o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",49,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",5,11,15.0
07022176.wav,"Grandfather clock striking ten o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",47,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",4,10,15.0
07022175.wav,"Grandfather clock striking quarter to the hour. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",19,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",3,-1,15.0
07022174.wav,"Grandfather clock striking half past the hour. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",16,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",2,10,0.0
07022173.wav,"Grandfather clock striking quarter past the hour. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",14,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",1,5,0.0
07022172.wav,Winding alarm clock.,28,,EC48Q,Clocks,8,12,0.0
07022171.wav,Alarm clock ringing.,31,,EC48Q,Clocks,7,-1,0.0
07022170.wav,Alarm clock ticking.,128,,EC48Q,Clocks,6,-1,0.0
07022169.wav,Domestic clock ticking slowly.,113,,EC48Q,Clocks,5,-1,0.0
07022168.wav,Domestic clock ticking. (Domestic clock with Westminster chimes.),131,,EC48Q,Clocks,4,-1,0.0
07022167.wav,Domestic clock striking nine o'clock. (Domestic clock with Westminster chimes.),49,,EC48Q,Clocks,3,9,16.0
07022166.wav,Domestic clock striking eight o'clock. (Domestic clock with Westminster chimes.),46,,EC48Q,Clocks,2,8,16.0
07022165.wav,Domestic clock striking seven o'clock. (Domestic clock with Westminster chimes.),45,,EC48Q,Clocks,1,7,16.0
07022164.wav,Domestic clock striking six o'clock. (Domestic clock with Westminster chimes.),44,,EC48P,Domestic Clock: Westminster Chimes,12,6,16.0
